EventID,Milliseconds,Voltage,NumRecords,EventSpan,MinVoltage,AvgVoltage,MaxVoltage,MaxMinDiff,FirstMinDiff,FirstVoltage,LastVoltage,AvgVoltageBeforeMin,AvgVoltageAfterMin,AvgDiffBeforeMin,AvgDiffAfterMin,MaxDiffBeforeMin,MaxDiffAfterMin,MaxVoltageBeforeMinMinusMin,MaxVoltageAfterMinMinusMin,VoltageSumBeforeMin,VoltageSumAfterMin,SumOfVoltageDiffsBeforeMin,SumOfVoltageDiffsAfterMin,DipLocation
2b44ed5c8957,0,11.034,8,9898,11.03,12.63,14.33,3.29,0.0,11.03,14.25,11.03,12.86,0.68,0.48,0.68,1.18,0.0,3.3,11.03,90.01,0.68,2.9,0.13
2b44ed5c8957,199,11.71382,8,9898,11.03,12.63,14.33,3.29,0.0,11.03,14.25,11.03,12.86,0.68,0.48,0.68,1.18,0.0,3.3,11.03,90.01,0.68,2.9,0.13
2b44ed5c8957,398,11.64226,8,9898,11.03,12.63,14.33,3.29,0.0,11.03,14.25,11.03,12.86,0.68,0.48,0.68,1.18,0.0,3.3,11.03,90.01,0.68,2.9,0.13
2b44ed5c8957,797,12.32208,8,9898,11.03,12.63,14.33,3.29,0.0,11.03,14.25,11.03,12.86,0.68,0.48,0.68,1.18,0.0,3.3,11.03,90.01,0.68,2.9,0.13
2b44ed5c8957,5699,12.2863,8,9898,11.03,12.63,14.33,3.29,0.0,11.03,14.25,11.03,12.86,0.68,0.48,0.68,1.18,0.0,3.3,11.03,90.01,0.68,2.9,0.13
2b44ed5c8957,6098,13.467039999999999,8,9898,11.03,12.63,14.33,3.29,0.0,11.03,14.25,11.03,12.86,0.68,0.48,0.68,1.18,0.0,3.3,11.03,90.01,0.68,2.9,0.13
2b44ed5c8957,6598,14.32576,8,9898,11.03,12.63,14.33,3.29,0.0,11.03,14.25,11.03,12.86,0.68,0.48,0.68,1.18,0.0,3.3,11.03,90.01,0.68,2.9,0.13
2b44ed5c8957,9898,14.2542,8,9898,11.03,12.63,14.33,3.29,0.0,11.03,14.25,11.03,12.86,0.68,0.48,0.68,1.18,0.0,3.3,11.03,90.01,0.68,2.9,0.13
e9d54500ce18,0,12.4652,9,10601,8.92,11.92,14.15,5.22,3.54,12.47,14.11,11.27,12.24,1.74,0.8,3.51,2.0,3.55,5.23,33.82,73.43,5.23,4.01,0.33
e9d54500ce18,4203,12.42942,9,10601,8.92,11.92,14.15,5.22,3.54,12.47,14.11,11.27,12.24,1.74,0.8,3.51,2.0,3.55,5.23,33.82,73.43,5.23,4.01,0.33
e9d54500ce18,4300,8.92298,9,10601,8.92,11.92,14.15,5.22,3.54,12.47,14.11,11.27,12.24,1.74,0.8,3.51,2.0,3.55,5.23,33.82,73.43,5.23,4.01,0.33
e9d54500ce18,4402,10.60464,9,10601,8.92,11.92,14.15,5.22,3.54,12.47,14.11,11.27,12.24,1.74,0.8,3.51,2.0,3.55,5.23,33.82,73.43,5.23,4.01,0.33
e9d54500ce18,4898,10.38996,9,10601,8.92,11.92,14.15,5.22,3.54,12.47,14.11,11.27,12.24,1.74,0.8,3.51,2.0,3.55,5.23,33.82,73.43,5.23,4.01,0.33
e9d54500ce18,5199,12.035839999999999,9,10601,8.92,11.92,14.15,5.22,3.54,12.47,14.11,11.27,12.24,1.74,0.8,3.51,2.0,3.55,5.23,33.82,73.43,5.23,4.01,0.33
